Benchmark,Model,Task_Name,Task_Version,Evaluation_Date,Numerical_Result,Upper_Confidence_Limit,Lower_Confidence_Limit,Boolean_Result
aaaaak/metaartw-how-llms-can-see-themselves-through-art,claude-opus-4-6-default,,1,"2026-04-15 19:05:49",69.94383333333333,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,claude-opus-4-6-default,"MetaARTW static difficult-1",1,"2026-04-14 14:45:03",0.5969366666666669,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,claude-opus-4-6-default,"MetaARTW adaptative easy-1",4,"2026-04-15 19:05:49",0.7769233333333335,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,claude-opus-4-6-default,"MetaARTW static difficult-2",1,"2026-04-14 18:51:25",0.6210933333333334,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,claude-opus-4-6-default,"MetaARTW static easy-2",3,"2026-04-15 10:08:39",0.8112966666666668,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,claude-opus-4-6-default,"MetaARTW static easy-1",3,"2026-04-15 11:50:34",0.7857333333333332,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,claude-opus-4-6-default,"MetaARTW adaptative difficult-1",1,"2026-04-15 17:28:17",0.6046466666666669,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,claude-sonnet-4-6-default,,1,"2026-04-15 17:02:56",59.0985,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,claude-sonnet-4-6-default,"MetaARTW static difficult-1",1,"2026-04-14 14:36:10",0.5272033333333335,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,claude-sonnet-4-6-default,"MetaARTW adaptative easy-1",4,"2026-04-14 16:24:36",0.6513833333333333,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,claude-sonnet-4-6-default,"MetaARTW static difficult-2",1,"2026-04-14 18:42:01",0.5204800000000003,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,claude-sonnet-4-6-default,"MetaARTW static easy-2",3,"2026-04-15 09:36:04",0.6792133333333332,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,claude-sonnet-4-6-default,"MetaARTW static easy-1",3,"2026-04-15 11:33:31",0.6533,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,claude-sonnet-4-6-default,"MetaARTW adaptative difficult-1",1,"2026-04-15 17:02:56",0.51433,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,gpt-5.4-2026-03-05,,1,"2026-04-16 12:08:52",38.33033333333333,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,gpt-5.4-2026-03-05,"MetaARTW static difficult-1",1,"2026-04-14 14:55:50",0.27776999999999996,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,gpt-5.4-2026-03-05,"MetaARTW adaptative easy-1",4,"2026-04-14 16:40:37",0.40456333333333333,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,gpt-5.4-2026-03-05,"MetaARTW static difficult-2",1,"2026-04-14 19:29:26",0.44477333333333324,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,gpt-5.4-2026-03-05,"MetaARTW static easy-2",3,"2026-04-15 10:37:25",0.5009133333333333,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,gpt-5.4-2026-03-05,"MetaARTW static easy-1",3,"2026-04-15 12:24:12",0.34075666666666665,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,gpt-5.4-2026-03-05,"MetaARTW adaptative difficult-1",1,"2026-04-16 12:08:52",0.33104333333333336,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,gemini-2.5-pro,,1,"2026-04-15 17:50:08",32.318777777777775,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,gemini-2.5-pro,"MetaARTW static difficult-1",1,"2026-04-14 15:03:49",0.22019333333333332,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,gemini-2.5-pro,"MetaARTW adaptative easy-1",4,"2026-04-14 17:28:48",0.4322766666666667,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,gemini-2.5-pro,"MetaARTW static difficult-2",1,"2026-04-14 19:00:20",0.24398333333333336,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,gemini-2.5-pro,"MetaARTW static easy-2",3,"2026-04-15 10:19:29",0.43657,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,gemini-2.5-pro,"MetaARTW static easy-1",3,"2026-04-15 12:05:18",0.3893833333333333,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,gemini-2.5-pro,"MetaARTW adaptative difficult-1",1,"2026-04-15 17:50:08",0.21672,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,gemini-2.5-flash,,1,"2026-04-15 13:51:10",20.32144444444445,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,gemini-2.5-flash,"MetaARTW static difficult-1",1,"2026-04-14 14:23:09",0.11991666666666671,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,gemini-2.5-flash,"MetaARTW adaptative easy-1",4,"2026-04-14 16:08:27",0.29932666666666674,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,gemini-2.5-flash,"MetaARTW static difficult-2",1,"2026-04-14 18:24:43",0.15067666666666665,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,gemini-2.5-flash,"MetaARTW static easy-2",3,"2026-04-15 09:25:06",0.24779666666666672,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,gemini-2.5-flash,"MetaARTW static easy-1",3,"2026-04-15 11:01:04",0.2503966666666667,,,
aaaaak/metaartw-how-llms-can-see-themselves-through-art,gemini-2.5-flash,"MetaARTW adaptative difficult-1",1,"2026-04-15 13:51:10",0.15117333333333333,,,
